dhfvwjvwjhevfwedsjdvwwrgewgqwfqwtimeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660212569270,220,yesIpledge,200,OK,users 1-1,text,true,,8448,270,1,1,https://partner.reposenergy.com/yesIpledge,95,0,22
1660212569270,95,yesIpledge-0,301,Moved Permanently,users 1-1,,true,,706,135,1,1,http://partner.reposenergy.com/yesIpledge,95,0,22
1660212569366,124,yesIpledge-1,200,OK,users 1-1,text,true,,7742,135,1,1,https://partner.reposenergy.com/yesIpledge,123,0,81
1660212569491,3609,yesIpledge API,200,OK,users 1-1,text,true,,898,318,1,1,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,3608,0,1874
1660212600545,148,yesIpledge,200,OK,users 1-1,text,true,,8440,270,2,2,https://partner.reposenergy.com/yesIpledge,45,0,17
1660212600545,45,yesIpledge-0,301,Moved Permanently,users 1-1,,true,,700,135,2,2,http://partner.reposenergy.com/yesIpledge,45,0,17
1660212600593,100,yesIpledge-1,200,OK,users 1-1,text,true,,7740,135,2,2,https://partner.reposenergy.com/yesIpledge,99,0,48
1660212600650,139,yesIpledge,200,OK,users 1-2,text,true,,8430,270,3,3,https://partner.reposenergy.com/yesIpledge,48,0,12
1660212600650,48,yesIpledge-0,301,Moved Permanently,users 1-2,,true,,694,135,3,3,http://partner.reposenergy.com/yesIpledge,48,0,12
1660212600699,90,yesIpledge-1,200,OK,users 1-2,text,true,,7736,135,3,3,https://partner.reposenergy.com/yesIpledge,90,0,39
1660212600748,137,yesIpledge,200,OK,users 1-3,text,true,,8436,270,4,4,https://partner.reposenergy.com/yesIpledge,39,0,10
1660212600748,39,yesIpledge-0,301,Moved Permanently,users 1-3,,true,,694,135,4,4,http://partner.reposenergy.com/yesIpledge,39,0,10
1660212600787,98,yesIpledge-1,200,OK,users 1-3,text,true,,7742,135,4,4,https://partner.reposenergy.com/yesIpledge,98,0,61
1660212600853,130,yesIpledge,200,OK,users 1-4,text,true,,8442,270,5,5,https://partner.reposenergy.com/yesIpledge,44,0,11




efefef
1660212600853,44,yesIpledge-0,301,Moved Permanently,users 1-4,,true,,692,135,5,5,http://partner.reposenergy.com/yesIpledge,44,0,11
1660212600898,85,yesIpledge-1,200,OK,users 1-4,text,true,,7750,135,5,5,https://partner.reposenergy.com/yesIpledge,84,0,35
1660212600948,119,yesIpledge,200,OK,users 1-5,text,true,,8436,270,6,6,https://partner.reposenergy.com/yesIpledge,38,0,10
1660212600948,38,yesIpledge-0,301,Moved Permanently,users 1-5,,true,,696,135,6,6,http://partner.reposenergy.com/yesIpledge,38,0,10
1660212600987,80,yesIpledge-1,200,OK,users 1-5,text,true,,7740,135,6,6,https://partner.reposenergy.com/yesIpledge,79,0,39
1660212601045,172,yesIpledge,200,OK,users 1-6,text,true,,8434,270,7,7,https://partner.reposenergy.com/yesIpledge,57,0,11
1660212601045,57,yesIpledge-0,301,Moved Permanently,users 1-6,,true,,696,135,7,7,http://partner.reposenergy.com/yesIpledge,57,0,11
1660212601103,114,yesIpledge-1,200,OK,users 1-6,text,true,,7738,135,7,7,https://partner.reposenergy.com/yesIpledge,113,0,61
1660212601144,162,yesIpledge,200,OK,users 1-7,text,true,,8440,270,8,8,https://partner.reposenergy.com/yesIpledge,78,0,15
1660212601144,78,yesIpledge-0,301,Moved Permanently,users 1-7,,true,,700,135,8,8,http://partner.reposenergy.com/yesIpledge,78,0,15
